"","academic_year","pupils_name","parental_contact_full_name","parental_contact_email"
"1",2,"Nellies, Ronna","Purcell, Ketti","Ketti.Purcell@Demizz.com"
"2",4,"Andriulis, Rusty","Vassili, Rivi","Rivi.Vassili@Brainbox.com"
"3",4,"Oakeshott, Roberta","Lind, Haskell","Haskell.Lind@Centidel.com"
"4",4,"Rubinfajn, Lola","Elie, Tresa","Tresa.Elie@Edgeblab.com"
"5",4,"Benedtti, Kamila","Adela, Clevey","Clevey.Adela@Trudoo.com"
"6",4,"Colebourn, Avery","Dalenna, Charley","Charley.Dalenna@Linktype.com"
"7",1,"Klimko, Valentino","Arlette, Onofredo","Onofredo.Arlette@Thoughtblab.com"
"8",1,"Shearwood, Cal","Leontine, Berne","Berne.Leontine@Browseblab.com"
"9",3,"Truswell, King","Evvy, Othelia","Othelia.Evvy@Photospace.com"
"10",1,"Stichall, Towney","Wendie, Joyann","Joyann.Wendie@Kwimbee.com"
"11",3,"Mc Dermid, Aubrette","Emilee, Giraldo","Giraldo.Emilee@Oyonder.com"
"12",3,"Chatres, Adah","Claudine, Dalia","Dalia.Claudine@Jabbercube.com"
"13",2,"Titterton, Benedikt","Zelma, Perrine","Perrine.Zelma@Blogtag.com"
"14",3,"Harberer, Rosina","Esther, Suzann","Suzann.Esther@Trilith.com"
"15",3,"Filinkov, Panchito","Darbee, Dasi","Dasi.Darbee@Flashspan.com"
"16",3,"Strike, Samara","Winna, Harlene","Harlene.Winna@Innojam.com"
"17",4,"McCormack, Joane","Marsiella, Max","Max.Marsiella@Zooxo.com"
"18",2,"Sitlinton, Griffie","Hunfredo, Shel","Shel.Hunfredo@Meedoo.com"
"19",1,"Silversmidt, Gilberta","Tawsha, Pearle","Pearle.Tawsha@Babbleblab.com"
"20",4,"Matkovic, Marjie","Ev, Finn","Finn.Ev@Youbridge.com"
"21",4,"Cowterd, Uri","Chrystal, Larina","Larina.Chrystal@Jabbersphere.com"
"22",1,"Mattisson, Korella","Sherie, Marsha","Marsha.Sherie@Flipopia.com"
"23",2,"Schonfelder, Findlay","Aldridge, Moise","Moise.Aldridge@Dabtype.com"
"24",3,"Jantzen, Jaquelyn","Walther, Jayme","Jayme.Walther@Vitz.com"
"25",4,"Gradwell, Davina","Ketti, Junie","Junie.Ketti@Leexo.com"
"26",2,"Selby, Nicolea","Kippie, Rheba","Rheba.Kippie@Kwimbee.com"
"27",3,"Alelsandrovich, Moselle","Quentin, Eimile","Eimile.Quentin@Feedfire.com"
"28",1,"Nieass, Honey","Sela, Hermon","Hermon.Sela@Gigabox.com"
"29",3,"Godfroy, Akim","Diarmid, Maren","Maren.Diarmid@Buzzshare.com"
"30",3,"Floch, Karole","Allie, Cynthia","Cynthia.Allie@Zava.com"
"31",1,"Feldbaum, Nata","Sloane, Zita","Zita.Sloane@Skidoo.com"
"32",4,"Antonucci, Jaquelin","Mathe, Edmund","Edmund.Mathe@DabZ.com"
"33",2,"Hallums, Candra","Raquela, Raye","Raye.Raquela@Realbridge.com"
"34",1,"Masters, Den","Hermon, Madelle","Madelle.Hermon@Photospace.com"
"35",4,"Marris, Janifer","Lars, Ilyssa","Ilyssa.Lars@Thoughtworks.com"
"36",4,"Bremmer, Carolus","Gal, Tamiko","Tamiko.Gal@Kanoodle.com"
"37",1,"Addicote, Casey","Vina, Morry","Morry.Vina@Fiveclub.com"
"38",2,"De Ath, Brigida","Alastair, Fanni","Fanni.Alastair@Eamia.com"
"39",4,"Severs, Kimberli","Annabell, Eddi","Eddi.Annabell@Jaxspan.com"
"40",2,"Blumson, Maribeth","Louis, Sarajane","Sarajane.Louis@Topicblab.com"
"41",3,"Rosenauer, Arabele","Vernen, Iggy","Iggy.Vernen@Zava.com"
"42",2,"Cominetti, Madison","Paulie, Francois","Francois.Paulie@Tekfly.com"
"43",2,"Knoton, Verina","Melantha, Peri","Peri.Melantha@Jabbercube.com"
"44",2,"Clubbe, Wolfgang","Axel, Claudelle","Claudelle.Axel@Cogilith.com"
"45",1,"Mazdon, Davin","Deena, Germain","Germain.Deena@Ainyx.com"
"46",2,"McIlwaine, Constantina","Onfre, Carter","Carter.Onfre@Thoughtstorm.com"
"47",1,"Merredy, Sayre","Antoni, Angela","Angela.Antoni@Browsebug.com"
"48",2,"Jeannot, Rodrick","Shauna, Gerick","Gerick.Shauna@Bubbletube.com"
"49",1,"Guerre, Kain","Alexandros, Walker","Walker.Alexandros@Roomm.com"
"50",2,"Fieldstone, Blinni","Odelle, Rudolfo","Rudolfo.Odelle@Yoveo.com"
"51",2,"Goscomb, Annabell","Joann, Zia","Zia.Joann@Photofeed.com"
"52",1,"Benazet, Clayborn","Robers, Zelma","Zelma.Robers@Devpoint.com"
